SUBJECT,LABEL,DICE,HDRFDST,normalization,bias_correction,skull_stripping,registration,postprocessing,coordinates_feature,intensity_feature,gradient_intensity_feature
118730,WhiteMatter,0.755655748423668,3.605551275463989,True,False,True,True,True,True,True,True
118730,GreyMatter,0.6279567146550898,3.0,True,False,True,True,True,True,True,True
118730,Hippocampus,0.44811880641510476,12.884098726725126,True,False,True,True,True,True,True,True
118730,Amygdala,0.45927749221747627,13.416407864998739,True,False,True,True,True,True,True,True
118730,Thalamus,0.7354970384009584,8.660254037844387,True,False,True,True,True,True,True,True
117122,WhiteMatter,0.7657726668888352,4.0,True,False,True,True,True,True,True,True
117122,GreyMatter,0.5928252696484901,3.4641016151377544,True,False,True,True,True,True,True,True
117122,Hippocampus,0.4948777165867235,13.96424004376894,True,False,True,True,True,True,True,True
117122,Amygdala,0.37802663438256656,15.394804318340652,True,False,True,True,True,True,True,True
117122,Thalamus,0.7522610553106395,8.306623862918075,True,False,True,True,True,True,True,True
120111,WhiteMatter,0.7827165577141243,3.1622776601683795,True,False,True,True,True,True,True,True
120111,GreyMatter,0.5888462883740953,3.605551275463989,True,False,True,True,True,True,True,True
120111,Hippocampus,0.46558881363338434,12.165525060596439,True,False,True,True,True,True,True,True
120111,Amygdala,0.4329094572997012,10.488088481701515,True,False,True,True,True,True,True,True
120111,Thalamus,0.7240607851414099,10.246950765959598,True,False,True,True,True,True,True,True
122620,WhiteMatter,0.7539348549913161,5.385164807134504,True,False,True,True,True,True,True,True
122620,GreyMatter,0.5964353154264134,4.47213595499958,True,False,True,True,True,True,True,True
122620,Hippocampus,0.4748500599760096,14.696938456699069,True,False,True,True,True,True,True,True
122620,Amygdala,0.4603794642857143,16.76305461424021,True,False,True,True,True,True,True,True
122620,Thalamus,0.7618360024503369,7.3484692283495345,True,False,True,True,True,True,True,True
124422,WhiteMatter,0.7608633973223028,4.0,True,False,True,True,True,True,True,True
124422,GreyMatter,0.5939108415765875,3.605551275463989,True,False,True,True,True,True,True,True
124422,Hippocampus,0.4925636788420993,12.569805089976535,True,False,True,True,True,True,True,True
124422,Amygdala,0.5145770501220738,12.206555615733702,True,False,True,True,True,True,True,True
124422,Thalamus,0.7850198548541695,7.483314773547883,True,False,True,True,True,True,True,True
118528,WhiteMatter,0.7776517350562205,3.605551275463989,True,False,True,True,True,True,True,True
118528,GreyMatter,0.6257860590688596,3.1622776601683795,True,False,True,True,True,True,True,True
118528,Hippocampus,0.4909357401835995,14.89966442575134,True,False,True,True,True,True,True,True
118528,Amygdala,0.38854715875805507,15.588457268119896,True,False,True,True,True,True,True,True
118528,Thalamus,0.7527222162798161,8.366600265340756,True,False,True,True,True,True,True,True
123117,WhiteMatter,0.7778668019523118,4.123105625617661,True,False,True,True,True,True,True,True
123117,GreyMatter,0.6145675927684978,3.605551275463989,True,False,True,True,True,True,True,True
123117,Hippocampus,0.504428608522547,13.152946437965905,True,False,True,True,True,True,True,True
123117,Amygdala,0.44502500559826824,13.2664991614216,True,False,True,True,True,True,True,True
123117,Thalamus,0.7413003467020503,10.488088481701515,True,False,True,True,True,True,True,True
122317,WhiteMatter,0.7748990913248365,3.7416573867739413,True,False,True,True,True,True,True,True
122317,GreyMatter,0.6044745545141101,3.4641016151377544,True,False,True,True,True,True,True,True
122317,Hippocampus,0.47299111423639967,12.884098726725126,True,False,True,True,True,True,True,True
122317,Amygdala,0.4478594950603732,14.035668847618199,True,False,True,True,True,True,True,True
122317,Thalamus,0.7466408938758191,7.54983443527075,True,False,True,True,True,True,True,True
123925,WhiteMatter,0.775402207298378,4.123105625617661,True,False,True,True,True,True,True,True
123925,GreyMatter,0.5845716506097384,4.0,True,False,True,True,True,True,True,True
123925,Hippocampus,0.46879289463060153,12.529964086141668,True,False,True,True,True,True,True,True
123925,Amygdala,0.43213052105533917,12.727922061357855,True,False,True,True,True,True,True,True
123925,Thalamus,0.7841525983011517,7.483314773547883,True,False,True,True,True,True,True,True
118932,WhiteMatter,0.7698528486313913,3.605551275463989,True,False,True,True,True,True,True,True
118932,GreyMatter,0.6319808199819412,3.0,True,False,True,True,True,True,True,True
118932,Hippocampus,0.4729157378510923,13.038404810405298,True,False,True,True,True,True,True,True
118932,Amygdala,0.43974437005477784,14.247806848775006,True,False,True,True,True,True,True,True
118932,Thalamus,0.7629182572348638,8.12403840463596,True,False,True,True,True,True,True,True
118730-PP,WhiteMatter,0.7799873862400332,4.0,True,False,True,True,True,True,True,True
118730-PP,GreyMatter,0.6300710323399328,4.0,True,False,True,True,True,True,True,True
118730-PP,Hippocampus,0.5482346399777592,9.219544457292887,True,False,True,True,True,True,True,True
118730-PP,Amygdala,0.556419190565532,10.0,True,False,True,True,True,True,True,True
118730-PP,Thalamus,0.7794291664694467,4.242640687119285,True,False,True,True,True,True,True,True
117122-PP,WhiteMatter,0.7851234665557294,5.0,True,False,True,True,True,True,True,True
117122-PP,GreyMatter,0.6057474877113945,4.0,True,False,True,True,True,True,True,True
117122-PP,Hippocampus,0.5990051934752395,10.04987562112089,True,False,True,True,True,True,True,True
117122-PP,Amygdala,0.43615521939302826,11.74734012447073,True,False,True,True,True,True,True,True
117122-PP,Thalamus,0.7932367149758454,4.123105625617661,True,False,True,True,True,True,True,True
120111-PP,WhiteMatter,0.7983150618152762,4.69041575982343,True,False,True,True,True,True,True,True
120111-PP,GreyMatter,0.5979320346329825,4.0,True,False,True,True,True,True,True,True
120111-PP,Hippocampus,0.5903412659641287,7.211102550927978,True,False,True,True,True,True,True,True
120111-PP,Amygdala,0.5092552359433389,8.06225774829855,True,False,True,True,True,True,True,True
120111-PP,Thalamus,0.7723689889376008,3.7416573867739413,True,False,True,True,True,True,True,True
122620-PP,WhiteMatter,0.7811119464003857,4.0,True,False,True,True,True,True,True,True
122620-PP,GreyMatter,0.5966808895447386,4.358898943540674,True,False,True,True,True,True,True,True
122620-PP,Hippocampus,0.5785035827362106,12.165525060596439,True,False,True,True,True,True,True,True
122620-PP,Amygdala,0.5472290588135449,11.180339887498949,True,False,True,True,True,True,True,True
122620-PP,Thalamus,0.8038152844015354,3.7416573867739413,True,False,True,True,True,True,True,True
124422-PP,WhiteMatter,0.7885934767454659,3.1622776601683795,True,False,True,True,True,True,True,True
124422-PP,GreyMatter,0.5985612502322014,4.123105625617661,True,False,True,True,True,True,True,True
124422-PP,Hippocampus,0.6045632798573976,8.660254037844387,True,False,True,True,True,True,True,True
124422-PP,Amygdala,0.6116218560277537,8.54400374531753,True,False,True,True,True,True,True,True
124422-PP,Thalamus,0.8198178716451621,3.605551275463989,True,False,True,True,True,True,True,True
118528-PP,WhiteMatter,0.7988579826314252,3.4641016151377544,True,False,True,True,True,True,True,True
118528-PP,GreyMatter,0.6333712258802664,3.605551275463989,True,False,True,True,True,True,True,True
118528-PP,Hippocampus,0.6311434386573688,13.19090595827292,True,False,True,True,True,True,True,True
118528-PP,Amygdala,0.48458657447421494,12.083045973594572,True,False,True,True,True,True,True,True
118528-PP,Thalamus,0.7926504405637395,3.7416573867739413,True,False,True,True,True,True,True,True
123117-PP,WhiteMatter,0.8000334357695111,4.47213595499958,True,False,True,True,True,True,True,True
123117-PP,GreyMatter,0.6297041147745547,3.4641016151377544,True,False,True,True,True,True,True,True
123117-PP,Hippocampus,0.6643518518518519,7.810249675906654,True,False,True,True,True,True,True,True
123117-PP,Amygdala,0.5450651769087523,11.40175425099138,True,False,True,True,True,True,True,True
123117-PP,Thalamus,0.793499088117829,3.605551275463989,True,False,True,True,True,True,True,True
122317-PP,WhiteMatter,0.7945593784361119,5.0990195135927845,True,False,True,True,True,True,True,True
122317-PP,GreyMatter,0.6142968822347465,3.7416573867739413,True,False,True,True,True,True,True,True
122317-PP,Hippocampus,0.6100530222693531,10.344080432788601,True,False,True,True,True,True,True,True
122317-PP,Amygdala,0.5281783597275059,11.090536506409418,True,False,True,True,True,True,True,True
122317-PP,Thalamus,0.8053814870706192,3.605551275463989,True,False,True,True,True,True,True,True
123925-PP,WhiteMatter,0.7967850430213439,5.0,True,False,True,True,True,True,True,True
123925-PP,GreyMatter,0.5991123988665858,3.7416573867739413,True,False,True,True,True,True,True,True
123925-PP,Hippocampus,0.5767369977153608,12.083045973594572,True,False,True,True,True,True,True,True
123925-PP,Amygdala,0.49725348941918057,10.246950765959598,True,False,True,True,True,True,True,True
123925-PP,Thalamus,0.8288100681319179,3.1622776601683795,True,False,True,True,True,True,True,True
118932-PP,WhiteMatter,0.7911140722012479,4.898979485566356,True,False,True,True,True,True,True,True
118932-PP,GreyMatter,0.6395694321067444,4.0,True,False,True,True,True,True,True,True
118932-PP,Hippocampus,0.6118614210217264,9.0,True,False,True,True,True,True,True,True
118932-PP,Amygdala,0.5448209099709583,11.0,True,False,True,True,True,True,True,True
118932-PP,Thalamus,0.8021244102026396,3.7416573867739413,True,False,True,True,True,True,True,True
